"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"celkove_hodnotenie";"maturity";"testovanie9";"matematika";"vyucovaci_jazyk";"cudzie_jazyky";"mimoriadne_vysledky";"nezamestnanost_absolventov";"vysledky_inspekcie";"ucasti_na_sutaziach";"prijimanie_na_VS";"pedagogicky_zbor";"financne_zdroje"
"1190";"Nitriansky";"Komárno";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 10";"Zemianska Olèa";"94614";"4,15585289001465";;"5,3584716796875";"5,09799575805664";"5,61894721984863";;"0";;"6,64882659912109";;;"5,67415733337402";"5,05368385314941"
"1191";"Nitriansky";"Komárno";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ F.Móru s VJM";"Školská 10";"Zemianska Olèa";"94614";;;;;;;"0";;"7,96346893310547";;;"6,2016357421875";"5,23641090393066"
"1192";"Nitriansky";"Komárno";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ s MŠ M.Kóczána s VJM";"Komenského 555";"Zlatná na Ostrove";"94612";;;;;;;"0";;;;;"5,61110801696777";"5,53947715759277"
"1193";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Bátovce 368";"Bátovce";"93503";"4,32134819030762";;"4,92050857543945";"4,55711212158203";"5,28390502929688";;"1,93224601745605";;"6,67784423828125";;;"8,77053298950195";"1,677272605896"
"1194";"Nitriansky";"Levice";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Beša 88";"Beša";"93536";;;;;;;"0";;"8,46045837402344";;;;
"1196";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Èaka 364";"Èaka";"93568";"5,92734527587891";;"7,6119384765625";"7,08746871948242";"8,1183235168457";;"0";;"7,68413162231445";;;"7,11922302246094";"4,80939483642578"
"1197";"Nitriansky";"Levice";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ Gábora Barossa s VJM";"Školská 4";"Èata";"93563";;;;;;;"0";;"5,1437614440918";;;"8,32272338867188";"5,50242614746094"
"1199";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Demandice 131";"Demandice";"93585";"2,92014312744141";;"3,28533782958984";"3,18631286621094";"3,38436241149902";;"0";;;;;"7,55408248901367";"4,50895195007324"
"1200";"Nitriansky";"Levice";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Dolné Semerovce 154";"Dolné Semerovce";"93585";;;;;;;"0";;"5,50247230529785";;;;
"1203";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Hlavná 60";"Dolnı Pial";"93537";"6,87966842651367";;"8,69354858398438";"9,03610305786133";"8,35099334716797";;"0";;"6,44351043701172";;;"5,57901268005371";"4,49920883178711"
"1204";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Farná 151";"Farná";"93566";"2,62698936462402";;"2,64823913574219";"2,30924606323242";"2,98723220825195";;"0";;;;;"6,7824104309082";"5,58524284362793"
"1205";"Nitriansky";"Levice";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Farná 151";"Farná";"93566";;;;;;;"0";;"4,7203685760498";;;"8,87606582641602";"6,45796356201172"
"1206";"Nitriansky";"Levice";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Hontianska Vrbica 6";"Hontianska Vrbica";"93555";;;;;;;"0";;;;;;
