"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_AJC1";"Mat_NJB1";"Mat_NJB2";"Mat_NJC1";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"3487";"Košickı";"Košice I";"Krajskı úrad, Okresnı úrad";"OU pri špec. vıchov. zariadení";"Slovenskı";"Špeciálna stredná škola";"Odborné uèilištepri RC";"Bankov è. 15";"Košice - Sever";"04031";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"15";;;;
"3488";"Košickı";"Košice I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Belehradská 21";"Košice - Sídlisko ahanovce";"04013";;;;;;;;;;;"69";"69";;;;;;;;;;;;;;;;;;"691";;;;
"3489";"Košickı";"Košice I";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Bocatiova 1";"Košice - Staré Mesto";"04153";"72";;;;"67";;;;;;;;;;;;;;;;;;;;;;;;;"417";;;;
"3490";"Košickı";"Košice I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Bruselská 18";"Košice - Sídlisko ahanovce";"04013";;;;;;;;;;;"53";"53";;;;;;;;;;;;;;;;;;"496";;;;
"3491";"Košickı";"Košice I";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı - maïarskı ";"Stredná odborná škola";"Stredná odborná škola";"Grešákova 1";"Košice - Staré Mesto";"04001";;"9";"47";"47";"28";"19";;;;;;;;;"2010/11";"2010/11";"2010/11";;;;;;;;;;;;;"179";;;;
"3492";"Košickı";"Košice I";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ dopravná";"Hlavná 113";"Košice - Staré Mesto";"04001";"105";;;;"97";;;;;;;;;;;;;;;;;;;;;;;;;"398";;;;
"3493";"Košickı";"Košice I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Hlavná 68";"Košice - Staré Mesto";"04001";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"890";;;;
"3494";"Košickı";"Košice I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Hroncova 23";"Košice - Sever";"04001";;;;;;;;;;;"17";"17";;;;;;;;;;;;;;;;;;"392";;;;
"3495";"Košickı";"Košice I";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkr. zákl.umelec.škola";"Hroncova 23";"Košice - Sever";"04001";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"90";;;;
"3496";"Košickı";"Košice I";"Samosprávny kraj";"Škola úitkového vıtvarníctva";"Slovenskı";"Stredná odborná škola";"Škola úit.vıtvarníctva";"Jakobyho 15";"Košice - Staré Mesto";"04084";"82";;;;"64";"17";;;;;;;;;;;;;;;;;;;;;;;;"331";;;;
"3500";"Košickı";"Košice I";"Cirkev, cirkevné spoloèenstvo";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Cirk.základná škola sMŠ";"Juhoslovanská 2";"Košice - Sídlisko ahanovce";"04013";;;;;;;;;;;"11";"11";;;"2013/14";"2013/14";"2013/14";;;;;;;;;;;;;"175";;;;
"3501";"Košickı";"Košice I";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkr.zákl.umelec. škola";"Kmeova 23";"Košice - Staré Mesto";"04001";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"241";;;;
"3502";"Košickı";"Košice I";"Súkromník";"Konzervatórium";"Slovenskı";"Konzervatórium";"Súkromné konzervatórium";"Zádielska 12";"Košice - Staré Mesto";"04001";"12";;;;"11";;;;;;;;;;;;;;;;;;;;;;;;;"65";;;;
"3503";"Košickı";"Košice I";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ strojnícka";"Komenského 2";"Košice - Sever";"04001";"87";"12";;;"67";"15";;;;;;;;;;;;;;;;;;;;;;;;"328";;;;
"3504";"Košickı";"Košice I";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ elektrotechnická";"Komenského 44";"Košice - Sever";"04001";"176";"10";;;"133";"36";;;;;;;;;;;;;;;;;;;;;;;;"803";;;;
"3505";"Košickı";"Košice I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Kováèska 43";"Košice - Staré Mesto";"04199";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"758";;;;
"3506";"Košickı";"Košice I";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola. G s VJM";"Kuzmányho 6";"Košice - Staré Mesto";"04174";;;;;;;;;;;;"24";"24";"24";;;;;;;;;;;;;;;;"220";;;;
"3507";"Košickı";"Košice I";"Samosprávny kraj";"Gymnázium";"Maïarskı";"Gymnázium";"Gymnázium a ZŠ s VJM";"Kuzmányho 6";"Košice - Staré Mesto";"04174";;"5";"35";"35";;"35";;;;;;;;;;;;;;;;;;;;;;;;"130";;;;
"3508";"Košickı";"Košice I";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ stavebná a geodet.";"Lermontovova 1";"Košice - Staré Mesto";"04172";"82";;;;"71";"6";;;;;;;;;;;;;;;;;;;;;;;;"302";;;;
"3509";"Košickı";"Košice I";"Súkromník";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Súkr.SOŠ ekonom.Tercium";"Lermontovova 1";"Košice - Staré Mesto";"04001";"16";;;;"8";"3";;;;;;;;;;;;;;;;;;;;;;;;"75";;;;
"3511";"Košickı";"Košice I";"Obèianske zdruenia";"Základná škola";"Slovenskı";"Základná škola";"Súkromná základná škola";"Masarykova 19/A";"Košice - Staré Mesto";"04001";;;;;;;;;;;;;;;"2013/14";"2013/14";"2013/14";;;;;;;;;;;;;"93";;;;
"3512";"Košickı";"Košice I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Masarykova 19/A";"Košice - Staré Mesto";"04001";;;;;;;;;;;"36";"36";;;;;;;;;;;;;;;;;;"396";;;;
"3513";"Košickı";"Košice I";"Cirkev, cirkevné spoloèenstvo";"Stredná zdravotnícka škola";"Slovenskı";"Stredná odborná škola";"SZŠ sv. Albety";"Mäsiarska 25";"Košice - Staré Mesto";"04001";"27";;;;"20";;;"7";;;;;;;;;;;;;;;;;;;;;;"302";;;;
"3514";"Košickı";"Košice I";"Samosprávny kraj";"Stredná zdravotnícka škola";"Slovenskı";"Stredná odborná škola";"Stredná zdravot. škola";"Moyzesova 17";"Košice - Staré Mesto";"04176";"114";;;;"93";"6";;"15";;;;;;;;;;;;;;;;;;;;;;"537";;;;
"3515";"Košickı";"Košice I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Nám. L. Novomeského 2";"Košice - Staré Mesto";"04001";;;;;;;;;;;"52";"52";;;;;;;;;;;;;;;;;;"755";;;;
"3516";"Košickı";"Košice I";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Francúzsky bil.";"Gymnázium";"Gymnázium M.R.Štefánika";"Nám. L. Novomeského 4";"Košice - Staré Mesto";"04224";"63";"9";;;;"40";;;;;"24";"24";;;;;;;;;;;;;;;;;;"470";;;;
"3517";"Košickı";"Košice I";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špec. základná škola";"Odborárska 2";"Košice - Sever";"04001";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3519";"Košickı";"Košice I";"Krajskı úrad, Okresnı úrad";"SOŠ eleznièná";"Slovenskı";"Stredná odborná škola";"SOŠ eleznièná";"Palackého 14";"Košice - Staré Mesto";"04001";"50";;;;"33";;;"6";;;;;;;"2017/18";"2017/18";"2012/13";;;;;;;;;;;;;"315";;;;
"3520";"Košickı";"Košice I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Park Angelinum 8";"Košice - Staré Mesto";"04215";;;;;;;;;;;"62";"62";;;;;;;;;;;;;;;;;;"695";;;;
"3521";"Košickı";"Košice I";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Španielsky bil.";"Gymnázium";"Gymnázium";"Park mládee 5";"Košice - Sever";"04001";"137";"38";;;;"113";;;;;;;;;;;;;;;;;;;;;;;;"653";;;;
"3522";"Košickı";"Košice I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Polianska 1";"Košice - Sever";"04001";;;;;;;;;;;"35";"35";;;"2012/13";"2012/13";"2012/13";;;;;;;;;;;;;"364";;;;
"3523";"Košickı";"Košice I";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Poštová 9";"Košice - Staré Mesto";"04252";"124";"52";;;;"120";;;"3";;;;;;;;;;;;;;;;;;;;;"524";;;;
"3524";"Košickı";"Košice I";"Súkromník";"Základná škola";"Slovenskı";"Základná škola";"Súkromná základná škola";"Strojárenská 3";"Košice - Staré Mesto";"04001";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"143";;;;
"3525";"Košickı";"Košice I";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı a Anglickı bil.";"Gymnázium";"Evanjelické gymnázium";"Škultétyho 10";"Košice - Staré Mesto";"04001";"109";"38";;;;;"107";;;;"33";"33";;;;;;;;;;;;;;;;;;"576";;;;
"3526";"Košickı";"Košice I";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Šrobárova 1";"Košice - Staré Mesto";"04223";"110";"42";;;;"97";;;"11";;;;;;"2016/17";"2016/17";"2016/17";;;;;;;;;;;;;"474";;;;
"3527";"Košickı";"Košice I";"Samosprávny kraj";"Konzervatórium";"Slovenskı";"Konzervatórium";"Konzervatórium";"Timonova 2";"Košice - Staré Mesto";"04203";"31";;;;"28";;;;;;;;;;;;;;;;;;;;;;;;;"214";;;;
"3528";"Košickı";"Košice I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Tomášikova 31";"Košice - Sever";"04001";;;;;;;;;;;"55";"55";;;;;;;;;;;;;;;;;;"526";;;;
"3529";"Košickı";"Košice I";"Krajskı úrad, Okresnı úrad";"Praktická škola";"Slovenskı";"Špeciálna stredná škola";"Spoj.škola - PŠ";"Vojenská 13";"Košice - Staré Mesto";"04001";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"12";;;;
"3530";"Košickı";"Košice I";"Krajskı úrad, Okresnı úrad";"ŠZŠ pre iakov s autizmom";"Slovenskı";"Špeciálna základná škola";"ZŠ pre iakov s autizm.";"Vojenská 13";"Košice - Staré Mesto";"04001";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3531";"Košickı";"Košice I";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Spoj.škola - ŠZŠ";"Vojenská 13";"Košice - Staré Mesto";"04001";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
